"Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","Url","Mins_Per_90","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90_Playing","GA","GA90","SoTA","Saves","Save_percent","W","D","L","CS","CS_percent","PKatt_Penalty","PKA_Penalty","PKsv_Penalty","PKm_Penalty","Save_percent_Penalty","GA_Goals","PKA_Goals","FK_Goals","CK_Goals","OG_Goals","PSxG_Expected","PSxG_per_SoT_Expected","PSxG_minus_GA","per_90","Cmp_Launched","Att_Launched","Cmp_percent_Launched","Att_Passes","Thr_Passes","Launch_percent_Passes","AvgLen_Passes","Att_Goal","Launch_percent_Goal","AvgLen_Goal","Opp_Crosses","Stp_Crosses","Stp_percent_Crosses","OPA_Sweeper","OPA_Sweeper_per_90","AvgDist_Sweeper","Cmp_Total","Att_Total","Cmp_percent_Total","TotDist_Total","PrgDist_Total","Cmp_Short","Att_Short","Cmp_percent_Short","Cmp_Medium","Att_Medium","Cmp_percent_Medium","Cmp_Long","Att_Long","Cmp_percent_Long","Ast","xA","A_minus_xA","KP","Final_Third","PPA","CrsPA","Prog"
2022,"Valencia","La Liga","Giorgi Mamardashvili","GEO","GK","21-187",2000,"https://fbref.com/en/players/d4b73232/Giorgi-Mamardashvili",13,13,13,1170,13,13,1,51,39,76.5,5,4,4,7,53.8,1,1,0,0,0,13,1,0,1,0,11.4,0.21,-1.6,-0.12,102,238,42.9,256,45,63.3,45.9,97,78.4,57.2,130,10,7.7,12,0.92,14.3,213,353,60.3,8413,6024,34,36,94.4,61,62,98.4,116,253,45.8,0,0,0,0,4,0,0,0
2022,"Valencia","La Liga","Jasper Cillessen","NED","GK","32-347",1989,"https://fbref.com/en/players/04ac8285/Jasper-Cillessen",14.2,15,15,1277,14.2,26,1.83,64,42,65.6,4,7,4,3,20,5,4,1,0,20,26,4,0,4,2,26.6,0.37,2.6,0.18,103,238,43.3,302,57,56,46.1,90,76.7,58.9,110,7,6.4,6,0.42,15.1,251,392,64,9669,7178,30,30,100,81,82,98.8,138,278,49.6,1,0,1,1,7,0,0,2
2022,"Valencia","La Liga","Jaume Doménech","ESP","GK","31-150",1990,"https://fbref.com/en/players/c9cb972b/Jaume-Domenech",2.8,3,2,253,2.8,4,1.42,8,5,50,1,0,1,0,0,0,0,0,0,NA,4,0,0,1,1,3.9,0.49,0.9,0.32,31,62,50,59,7,69.5,46.6,27,77.8,53,32,3,9.4,1,0.36,11,54,86,62.8,2196,1607,8,8,100,10,10,100,36,68,52.9,0,0,0,0,0,0,0,0
2022,"Venezia","Serie A","Luca Lezzerini","ITA","GK","27-011",1995,"https://fbref.com/en/players/c9c32262/Luca-Lezzerini",5.5,6,6,495,5.5,9,1.64,39,30,76.9,2,1,3,0,0,0,0,0,0,NA,9,0,0,0,0,11.6,0.31,2.6,0.47,30,70,42.9,155,39,33.5,32.9,42,42.9,34.9,57,2,3.5,2,0.36,11.4,155,197,78.7,4340,2405,27,27,100,67,67,100,58,100,58,0,0,0,1,0,0,0,0
2022,"Venezia","Serie A","Niki Mäenpää","FIN","GK","37-071",1985,"https://fbref.com/en/players/14a96e1c/Niki-Maenpaa",8.5,9,8,765,8.5,13,1.53,26,16,61.5,0,2,6,0,0,4,3,0,1,0,13,3,0,0,0,11.3,0.36,-1.7,-0.2,32,98,32.7,194,36,41.2,36.5,63,28.6,29.5,76,5,6.6,2,0.24,12.1,183,257,71.2,4689,2497,50,51,98,79,82,96.3,51,120,42.5,0,0,0,0,1,0,0,0
2022,"Venezia","Serie A","Sergio Romero","ARG","GK","35-041",1987,"https://fbref.com/en/players/1e26e376/Sergio-Romero",16,16,16,1440,16,33,2.06,99,74,72.7,3,4,9,3,18.8,6,6,0,0,0,33,6,0,1,2,32.2,0.28,1.2,0.08,119,266,44.7,449,101,44.5,38.1,141,46.8,39.3,159,11,6.9,8,0.5,12.1,421,590,71.4,12962,8067,87,88,98.9,154,163,94.5,176,335,52.5,0,0.2,-0.2,1,7,0,0,1
2022,"Villarreal","La Liga","Gerónimo Rulli","ARG","GK","29-319",1992,"https://fbref.com/en/players/625c144a/Geronimo-Rulli",26,26,26,2340,26,23,0.88,78,56,74.4,10,8,8,12,46.2,4,3,1,0,25,23,3,0,2,1,22.5,0.26,0.5,0.02,130,295,44.1,867,133,25.1,32.7,176,43.8,40.2,231,23,10,25,0.96,15.7,863,1043,82.7,24314,12550,108,111,97.3,467,473,98.7,287,458,62.7,0,0,0,0,10,0,0,1
2022,"Villarreal","La Liga","Sergio Asenjo","ESP","GK","32-280",1989,"https://fbref.com/en/players/9f0ea33f/Sergio-Asenjo",4,4,4,360,4,6,1.5,17,12,70.6,2,1,1,0,0,1,1,0,0,0,6,1,0,0,0,5.7,0.28,-0.3,-0.08,19,47,40.4,100,22,29,30.9,46,39.1,39,49,4,8.2,5,1.25,15.2,116,146,79.5,3036,1722,25,25,100,57,57,100,34,63,54,0,0,0,0,1,0,0,0
2022,"Watford","Premier League","Ben Foster","ENG","GK","39-001",1983,"https://fbref.com/en/players/d0b3ceb9/Ben-Foster",19,19,19,1710,19,31,1.63,71,41,57.7,5,4,10,3,15.8,2,1,1,0,50,31,1,0,4,1,26.7,0.36,-3.3,-0.18,171,491,34.8,481,53,70.3,51.4,170,90,64.4,198,11,5.6,20,1.05,15.9,320,651,49.2,14369,10811,19,20,95,94,98,95.9,207,533,38.8,1,0.1,0.9,1,30,2,0,0
2022,"Watford","Premier League","Daniel Bachmann","AUT","GK","27-269",1994,"https://fbref.com/en/players/1c0eea98/Daniel-Bachmann",11,11,11,990,11,26,2.36,61,39,62.3,1,0,10,0,0,3,3,0,0,0,26,3,1,4,2,21.4,0.31,-2.6,-0.23,80,206,38.8,248,40,60.9,47.1,80,68.8,51.5,101,3,3,8,0.73,13.7,194,328,59.1,7387,5045,20,20,100,76,79,96.2,98,229,42.8,0,0,0,0,9,0,0,0
2022,"West Ham","Premier League","Alphonse Areola","FRA","GK","29-036",1993,"https://fbref.com/en/players/2f965a72/Alphonse-Areola",1,1,1,90,1,1,1,3,2,66.7,0,0,1,0,0,0,0,0,0,NA,1,0,0,0,0,1.2,0.39,0.2,0.17,8,28,28.6,27,3,66.7,49.7,14,71.4,53.2,13,1,7.7,0,0,7,20,41,48.8,768,546,0,0,NA,9,9,100,11,32,34.4,0,0,0,0,0,0,0,0
2022,"West Ham","Premier League","Lukasz Fabianski","POL","GK","36-351",1985,"https://fbref.com/en/players/9328b835/Lukasz-Fabianski",30,30,30,2700,30,39,1.3,121,80,69.4,15,6,9,7,23.3,3,2,1,0,33.3,39,2,1,6,1,39.5,0.31,1.5,0.05,202,489,41.3,559,110,58.1,45,224,73.2,54,269,11,4.1,6,0.2,12,491,783,62.7,18795,12481,47,47,100,163,164,99.4,279,568,49.1,0,0,0,1,9,0,0,0
2022,"Wolfsburg","Bundesliga","Koen Casteels","BEL","GK","29-283",1992,"https://fbref.com/en/players/db401046/Koen-Casteels",23,23,23,2070,23,31,1.35,85,57,67.1,9,4,10,8,34.8,6,3,2,1,40,31,3,0,2,0,32.3,0.34,1.3,0.06,172,360,47.8,733,114,37.5,35.2,165,51.5,43.6,211,15,7.1,20,0.87,14.5,698,898,77.7,21225,12004,108,108,100,318,321,99.1,271,466,58.2,0,0,0,0,9,0,0,1
2022,"Wolfsburg","Bundesliga","Pavao Pervan","AUT","GK","34-142",1987,"https://fbref.com/en/players/c89e8aae/Pavao-Pervan",5,5,5,450,5,14,2.8,28,16,53.6,0,0,5,0,0,1,1,0,0,0,14,1,1,2,1,7.1,0.22,-5.9,-1.19,18,48,37.5,130,24,31.5,32.5,35,20,22.7,33,1,3,5,1,14.9,132,165,80,3159,1654,38,39,97.4,59,59,100,35,67,52.2,0,0,0,0,0,0,0,0
2022,"Wolves","Premier League","José Sá","POR","GK","29-077",1993,"https://fbref.com/en/players/903b6e8b/Jose-Sa",31,31,31,2790,31,27,0.87,122,102,82.8,15,4,12,11,35.5,6,6,0,0,0,27,6,1,1,1,36.7,0.26,10.7,0.35,134,406,33,690,164,42.8,39.5,218,50.9,42.7,282,30,10.6,34,1.1,15.5,612,908,67.4,18068,10157,116,116,100,252,256,98.4,237,528,44.9,1,1,0,4,12,2,0,1
